Gene.symbol,UniGene.symbol,ID,logFC,adj.P.Val,P.Value,t,B
HAMP,,220491_at,-5.445583838,3.82E-101,5.49E-104,-28.83781893,226.7534431
CYP1A2,,207608_x_at,-5.193714646,2.07E-114,1.30E-117,-32.00597986,258.0134152
GPC3,,209220_at,4.814928283,1.94E-86,8.86E-89,25.42046217,191.8490176
SPINK1,,206239_s_at,4.262446162,1.38E-55,4.48E-57,18.48908466,119.0757993
CYP1A2,,207609_s_at,-4.242712323,5.69E-130,1.53E-133,-35.87461796,294.5394197
MT1M,,217546_at,-4.117257273,9.02E-89,3.68E-91,-25.94887995,197.3150592
SLC22A1,,207201_s_at,-4.083804141,2.02E-73,2.38E-75,-22.47275858,161.0223067
CYP2A6,,1494_f_at,-4.064467273,1.01E-75,9.81E-78,-22.99314993,166.4965603
MT1F,,213629_x_at,-3.981754343,6.89E-100,1.11E-102,-28.53968225,223.7537909
ADH1C///ADH1B///ADH1A,,209614_at,-3.966053939,8.10E-94,2.33E-96,-27.11062508,209.2490943
CYP2A6,,214320_x_at,-3.94863,1.37E-75,1.35E-77,-22.96272166,166.1767465
NAT2,,206797_at,-3.811766162,9.34E-114,6.71E-117,-31.83744878,256.3801428
CYP2A6,,211295_x_at,-3.806638081,1.86E-78,1.58E-80,-23.60378182,172.905977
PEG10,,212094_at,3.783777273,3.18E-53,1.18E-54,17.95670786,113.5173956
C9,,206727_at,-3.747559697,1.29E-65,2.36E-67,-20.73186677,142.6653676
FOS,,209189_at,-3.74073202,2.31E-107,2.29E-110,-30.30717242,241.3950628
AKR1B10,,206561_s_at,3.660164141,2.24E-48,1.13E-49,16.85412972,102.0950608
CYP2B7P,,206754_s_at,-3.590040707,1.80E-81,1.25E-83,-24.28483657,180.0320635
GLYAT,,222083_at,-3.573419596,1.70E-90,6.11E-93,-26.34538115,201.4014764
APOF,,207262_at,-3.538368384,6.92E-108,6.52E-111,-30.43366614,242.6441474
SLCO1B3,,206354_at,-3.526580606,3.70E-61,8.99E-63,-19.73440117,132.1507478
CYP2A6,,207244_x_at,-3.507248283,1.34E-79,1.03E-81,-23.8635103,175.6266529
MT1F,,217165_x_at,-3.501446566,2.19E-93,6.70E-96,-27.00763285,208.1960233
HAO2,,220801_s_at,-3.487766162,1.13E-76,1.05E-78,-23.20487987,168.7208655
MT1G,,204745_x_at,-3.484857071,3.49E-86,1.64E-88,-25.3610714,191.2333013
CXCL14,,218002_s_at,-3.456050707,4.84E-151,6.53E-155,-41.40670451,343.4944834
CYP2B6,,206755_at,-3.437808283,6.26E-103,8.43E-106,-29.25310423,230.9158626
CYP39A1,,220432_s_at,-3.427933737,1.40E-103,1.83E-106,-29.40552788,232.4388899
GLS2,,205531_s_at,-3.426035556,1.35E-81,9.11E-84,-24.31473225,180.3442532
,,210524_x_at,-3.41009899,2.44E-95,6.14E-98,-27.46584433,212.8734052
AKR1D1,,207102_at,-3.409103737,1.81E-68,2.88E-70,-21.36578304,149.3534708
GYS2,,214621_at,-3.407374949,3.80E-80,2.83E-82,-23.98685273,176.9173911
FCN3,,205866_at,-3.361190909,5.10E-133,1.14E-136,-36.65797229,301.7062569
CYP3A4,,205999_x_at,-3.357110101,2.89E-61,6.97E-63,-19.75856275,132.4051463
DCN,,211896_s_at,-3.308852727,8.16E-79,6.82E-81,-23.68397383,173.746374
ACSL4,,202422_s_at,3.298534848,1.68E-79,1.32E-81,23.84052064,175.3859802
C7,,202992_at,-3.283472828,1.52E-81,1.05E-83,-24.3015176,180.2062642
CYP2C8,,208147_s_at,-3.207948384,6.45E-58,1.85E-59,-19.01085998,124.543786
DCN,,201893_x_at,-3.200915859,3.08E-75,3.10E-77,-22.88397776,165.3489454
MT1X,,204326_x_at,-3.187796869,2.64E-83,1.53E-85,-24.70541012,184.418736
MT1E,,212859_x_at,-3.182528283,1.12E-76,1.04E-78,-23.20609145,168.7335882
HPD,,206024_at,-3.164499697,4.08E-47,2.17E-48,-16.56751409,99.15042001
CYP3A4,,208367_x_at,-3.157088889,2.61E-62,5.92E-64,-19.9919385,134.8633339
IGHA2///IGHA1,,217022_s_at,-3.154590909,1.95E-54,6.69E-56,-18.23121176,116.3804963
CXCL12,,209687_at,-3.149437172,2.13E-95,5.26E-98,-27.48090712,213.0268228
CCL20,,205476_at,3.129768081,3.54E-60,9.05E-62,19.51575631,129.8495958
CYP2E1,,209976_s_at,-3.125112121,1.50E-41,1.07E-42,-15.2805448,86.09108883
CYP2E1,,1431_at,-3.117229293,5.11E-40,3.89E-41,-14.92278487,82.51662494
SDS,,205695_at,-3.111091717,8.37E-46,4.73E-47,-16.26721385,96.07808796
RRM2,,201890_at,3.106403636,3.30E-105,3.85E-108,29.79161466,236.2851667
MT1H,,206461_x_at,-3.087377374,1.47E-81,1.00E-83,-24.30569997,180.2499382
ADH1C///ADH1B///ADH1A,,206262_at,-3.078379899,4.22E-55,1.40E-56,-18.38050926,117.9403335
GBA3,,219954_s_at,-3.073374747,9.07E-79,7.65E-81,-23.67294584,173.6308225
DCN,,211813_x_at,-3.068801717,1.09E-78,9.23E-81,-23.65515753,173.4444229
SLC10A1,,207185_at,-3.047698889,1.24E-50,5.52E-52,-17.36731874,107.3944228
TOP2A,,201291_s_at,3.047164949,8.51E-98,1.64E-100,28.04707937,218.7771485
MT1X,,208581_x_at,-3.044976263,5.51E-83,3.31E-85,-24.63138983,183.6475231
ASPM,,219918_s_at,3.039657475,8.33E-112,6.74E-115,31.36555149,251.7887005
HGFAC,,207027_at,-3.036984444,8.06E-83,5.08E-85,-24.59047933,183.2211228
LCAT,,204428_s_at,-3.016089596,4.20E-127,1.32E-130,-35.14670516,287.8101292
GNMT,,210328_at,-3.007196667,1.71E-57,5.03E-59,-18.9160873,123.5493318
IGF1,,209541_at,-2.99498202,3.24E-72,4.09E-74,-22.20351316,158.1865503
LOC654164///CYP4A22///CYP4A11,,217319_x_at,-2.973616667,2.64E-79,2.13E-81,-23.7948598,174.9078833
DNASE1L3,,205554_s_at,-2.940604949,4.16E-99,7.28E-102,-28.35425635,221.8834318
ABCA8,,204719_at,-2.940435657,3.78E-65,7.20E-67,-20.62654242,141.5542882
CYP4A11,,207407_x_at,-2.933853838,2.65E-71,3.54E-73,-21.99934632,156.0349714
PCK1,,208383_s_at,-2.931158283,3.66E-54,1.30E-55,-18.16816874,115.7223769
HSD11B1,,205404_at,-2.929033939,1.37E-44,8.24E-46,-15.98788642,93.23317858
CYP2C9,,214421_x_at,-2.912868687,1.05E-57,3.05E-59,-18.96376288,124.0495288
AFM,,206840_at,-2.911041111,6.56E-60,1.69E-61,-19.45638355,129.2250468
ALDOB,,204704_s_at,-2.904949697,6.63E-57,2.01E-58,-18.7842623,122.1669803
CYP2C9,,217558_at,-2.898200606,1.12E-60,2.82E-62,-19.62623361,131.0121002
SQLE,,209218_at,2.892243636,4.58E-81,3.25E-83,24.19326286,179.0754527
RRM2,,209773_s_at,2.881854646,3.03E-99,5.03E-102,28.39070517,222.2513684
EGR1,,201694_s_at,-2.874855556,1.40E-89,5.30E-92,-26.13634896,199.2488108
BCHE,,205433_at,-2.871801616,3.54E-54,1.24E-55,-18.1720355,115.7627332
RDH16,,206753_at,-2.868850404,1.25E-73,1.42E-75,-22.52146492,161.5350669
VIPR1,,205019_s_at,-2.852856869,7.26E-152,6.52E-156,-41.67658286,345.7849401
MT1M,,216336_x_at,-2.846219394,1.42E-80,1.04E-82,-24.08210238,177.913556
CYP3A4,,205998_x_at,-2.831195859,3.92E-79,3.20E-81,-23.75593215,174.5001981
ESR1,,205225_at,-2.813815657,1.58E-116,8.52E-120,-32.52521522,263.0237593
CYP2C9///CYP2C19,,216025_x_at,-2.807356364,8.07E-58,2.33E-59,-18.98937763,124.3183253
KIAA0101,,202503_s_at,2.791106667,4.12E-98,7.59E-101,28.12312338,219.547035
GLYAT,,206930_at,-2.774583838,2.06E-66,3.63E-68,-20.90869807,144.5309653
ROBO1,,213194_at,2.770067576,1.58E-71,2.06E-73,22.05071439,156.5763954
EGR1,,201693_s_at,-2.763520505,4.08E-100,6.41E-103,-28.59441593,224.3051906
IGF1,,209540_at,-2.75994101,1.01E-73,1.13E-75,-22.54297904,161.7615349
ID1,,208937_s_at,-2.747248081,2.42E-78,2.10E-80,-23.57700602,172.6252984
CYP2A13///CYP2A7P1///CYP2A7///CYP2A6,,207718_x_at,-2.743000202,2.84E-85,1.44E-87,-25.15260439,189.069981
CYP2C9,,216661_x_at,-2.742092121,1.74E-60,4.39E-62,-19.58418134,130.569546
LPA,,207584_at,-2.732844141,5.78E-105,7.01E-108,-29.73172956,235.6896703
KCNN2,,220116_at,-2.721275859,2.50E-76,2.38E-78,-23.12760265,167.9092591
TOP2A,,201292_at,2.719052828,5.14E-97,1.08E-99,27.86156012,216.8964483
CXCL2,,209774_x_at,-2.713864444,2.10E-64,4.13E-66,-20.46149923,139.8134748
GHR,,205498_at,-2.709100707,4.86E-65,9.32E-67,-20.60213828,141.2968617
NNMT,,202238_s_at,-2.707377879,2.08E-45,1.20E-46,-16.1762212,95.14993194
CYP2C9,,220017_x_at,-2.685021616,1.69E-55,5.53E-57,-18.46896444,118.8653183
ADH1B,,209613_s_at,-2.681984242,1.02E-49,4.81E-51,-17.15872166,105.2364602
