	B4GALT5	DYNC1I2	PARD6B	YWHAB	ACVR1	VPS4B	MAP4K3	ITGB1	CTTNBP2NL	ADAM10	PIGS	ARHGEF18	IQGAP1	MARK2	MOB3B	PFKFB3	CCDC92	RAB11A	ZBTB4	APOC1	AMBP	APOC2	SLC22A3	RBP4	PROC	MGMT	ITIH1	GAMT	ASGR1	APOC3	MASP2	PEBP1	SLC27A5	GSTO1	APOH	TST	MLXIPL	ECHS1
B4GALT5	1	0.734549489	0.804987896	0.692314594	0.741400338	0.575452127	0.701702196	0.696339362	0.708419865	0.728440727	0.74007688	0.656754088	0.733846783	0.687121647	0.653881074	0.68765888	0.696645779	0.68765888	0.662711537	-0.360227293	-0.263811881	-0.391541626	-0.267435646	-0.255128515	-0.233629739	-0.243072741	-0.391541626	-0.272109824	-0.22965721	-0.244449873	-0.264468144	-0.384375262	-0.271582642	-0.199600362	-0.241291253	-0.233343791	-0.231090394	-0.197492501
DYNC1I2	0.734549489	1	0.695973098	0.73970918	0.834547738	0.640087979	0.811552874	0.781128225	0.741818877	0.757823365	0.729686942	0.691543178	0.726200385	0.717296573	0.570810947	0.658152064	0.757540173	0.658152064	0.761793921	-0.35216041	-0.284505668	-0.363315253	-0.140529169	-0.228418296	-0.157909469	-0.233498062	-0.213756923	-0.262809382	-0.153502329	-0.254950164	-0.246137355	-0.101680739	-0.269001189	-0.112956606	-0.191593563	-0.151684539	-0.139076709	-0.168088874
PARD6B	0.804987896	0.695973098	1	0.617533793	0.735680006	0.534361182	0.728478068	0.602049333	0.664541905	0.734366544	0.735563381	0.629522371	0.683063345	0.654628378	0.615030438	0.561326101	0.759358414	0.561326101	0.571230085	-0.300505902	-0.257238602	-0.368410357	-0.274649518	-0.244084895	-0.195640017	-0.188715845	-0.179094947	-0.21565526	-0.188246503	-0.247979136	-0.265519685	-0.224868713	-0.202733676	-0.148317872	-0.22417834	-0.178096473	-0.108511465	-0.206654411
YWHAB	0.692314594	0.73970918	0.617533793	1	0.652719557	0.659324828	0.647730554	0.684748157	0.660326415	0.737647035	0.730034195	0.657190285	0.681538146	0.720684574	0.452904052	0.476519012	0.602230873	0.476519012	0.62196958	-0.255456122	-0.228857638	-0.331720637	-0.145155989	-0.185294348	-0.183462217	-0.140957447	-0.160863021	-0.342313575	-0.251004645	-0.196764623	-0.205102793	-0.202733676	-0.198049808	-0.318440873	-0.158383342	-0.070181588	-0.078440005	-0.137113034
ACVR1	0.741400338	0.834547738	0.735680006	0.652719557	1	0.623383509	0.765699297	0.733381452	0.687070653	0.765558602	0.708246831	0.650419995	0.711254964	0.689465453	0.516061995	0.619047205	0.654175298	0.619047205	0.708513406	-0.371365858	-0.254913645	-0.384375262	-0.318440873	-0.273615764	-0.128690104	-0.237755671	-0.162260001	-0.253212763	-0.18653826	-0.250151157	-0.294949866	-0.235675535	-0.332090066	-0.197972397	-0.179346271	-0.151588109	-0.117439627	-0.129729579
VPS4B	0.575452127	0.640087979	0.534361182	0.659324828	0.623383509	1	0.623826855	0.640151655	0.55474152	0.679747689	0.501860602	0.633691355	0.612789862	0.613279324	0.446556791	0.382906254	0.421461942	0.382906254	0.603103893	-0.234334406	-0.384375262	-0.391541626	-0.239304674	-0.205757323	-0.273923036	-0.174280415	-0.342545638	-0.290129274	-0.375186325	-0.33335666	-0.318440873	-0.193476262	-0.200984851	-0.267904963	-0.18901754	-0.217898625	-0.078440005	-0.137113034
MAP4K3	0.701702196	0.811552874	0.728478068	0.647730554	0.765699297	0.623826855	1	0.78700658	0.802405834	0.780210191	0.705166484	0.769854941	0.666133344	0.750070044	0.676676309	0.671788213	0.656404588	0.671788213	0.714078116	-0.365655245	-0.296644453	-0.402426636	-0.193708603	-0.351430872	-0.30618299	-0.28668094	-0.316974817	-0.342798412	-0.214817773	-0.215273935	-0.286512808	-0.224788982	-0.097489234	-0.224868713	-0.202733676	-0.198049808	-0.117439627	-0.199630479
ITGB1	0.696339362	0.781128225	0.602049333	0.684748157	0.733381452	0.640151655	0.78700658	1	0.758298424	0.795486333	0.650157869	0.725319669	0.68332932	0.670916837	0.520478811	0.65636748	0.25280164	0.65636748	0.710436599	-0.363189196	-0.297469434	-0.256953	-0.276726297	-0.128892098	-0.205757323	-0.273923036	-0.174280415	-0.342545638	-0.203727695	-0.213555834	-0.224788982	-0.097489234	-0.224868713	-0.202733676	-0.198049808	-0.171995683	-0.144728462	-0.124889536
CTTNBP2NL	0.708419865	0.741818877	0.664541905	0.660326415	0.687070653	0.55474152	0.802405834	0.758298424	1	0.766582091	0.760226402	0.683452513	0.823046432	0.676617312	0.593688431	0.733543909	0.693201748	0.733543909	0.744877111	-0.363315253	-0.341419301	-0.363315253	-0.363315253	-0.261139774	-0.351430872	-0.30618299	-0.28668094	-0.316974817	-0.312024102	-0.268253242	-0.288940326	-0.267435646	-0.288593035	-0.235675535	-0.332090066	-0.277576664	-0.276065303	-0.243678819
ADAM10	0.728440727	0.757823365	0.734366544	0.737647035	0.765558602	0.679747689	0.780210191	0.795486333	0.766582091	1	0.745897471	0.717464552	0.750734201	0.770678324	0.585544826	0.538707367	0.150914572	0.538707367	0.676637022	-0.368410357	-0.272768705	-0.368410357	-0.368410357	-0.21565526	-0.188246503	-0.247979136	-0.182537353	-0.311597241	-0.20940557	-0.230817652	-0.301117304	-0.140529169	-0.296882663	-0.193476262	-0.200984851	-0.176201705	-0.066101309	-0.212155806
